chapter,count
第2章 肿瘤 (C00-D48),1811
第19章 损伤、中毒和外因的某些其他后果 (S00-T98),1187
第11章 消化系统疾病 (K00-K93),1170
第13章 肌肉骨骼系统和结缔组织疾病 (M00-M99),1152
第1章 某些传染病和寄生虫病 (A00-B99),973
第9章 循环系统疾病 (I00-I99),895
第7章 眼和附器疾病 (H00-H59) / 第8章 耳和乳突疾病 (H60-H95),683
第17章 先天性畸形、变形和染色体异常 (Q00-Q99),632
第14章 泌尿生殖系统疾病 (N00-N99),569
第3章 血液及造血器官疾病和某些涉及免疫机制的疾患 (D50-D89),528
第6章 神经系统疾病 (G00-G99),496
第10章 呼吸系统疾病 (J00-J99),483
第15章 妊娠、分娩和产褥期 (O00-O99),365
第20章 疾病和死亡的外因 (V01-Y98),362
第12章 皮肤和皮下组织疾病 (L00-L99),323
第18章 症状、体征和临床与实验室异常所见 (R00-R99),231
第5章 精神和行为障碍 (F00-F99),196
第21章 影响健康状态的因素 (Z00-Z99),185
第16章 起源于围生期的某些情况 (P00-P96),149
