icd_code,disease_name,stat_code,pinyin_code,chapter
A00.101,2号病(爱尔托霍乱弧菌),007,HBAETHLHJ,第1章 某些传染病和寄生虫病 (A00-B99)
A00.901,霍乱,004,HL,第1章 某些传染病和寄生虫病 (A00-B99)
A01.001,伤寒,005,SH,第1章 某些传染病和寄生虫病 (A00-B99)
A01.002,伤寒杆菌性败血症,005,SHGJXBXZ,第1章 某些传染病和寄生虫病 (A00-B99)
A01.003+ G01.01*,伤寒性脑膜炎,005,SHXNMY,第1章 某些传染病和寄生虫病 (A00-B99)
A01.004,伤寒性肝炎,007,SHXGY,第1章 某些传染病和寄生虫病 (A00-B99)
A01.005,肠伤寒,007,CSH,第1章 某些传染病和寄生虫病 (A00-B99)
A01.006,鼠伤寒沙门氏感染(肠炎),007,SSHSMSGRCY,第1章 某些传染病和寄生虫病 (A00-B99)
A01.007,鼠伤寒,007,SSH,第1章 某些传染病和寄生虫病 (A00-B99)
A01.101,甲型副伤寒,005,JXFSH,第1章 某些传染病和寄生虫病 (A00-B99)
A01.201,乙型副伤寒,005,YXFSH,第1章 某些传染病和寄生虫病 (A00-B99)
A01.301,丙型副伤寒,005,BXFSH,第1章 某些传染病和寄生虫病 (A00-B99)
A01.401,副伤寒,005,FSH,第1章 某些传染病和寄生虫病 (A00-B99)
A01.402,伤寒性肝炎,005,SHXGY,第1章 某些传染病和寄生虫病 (A00-B99)
A02.001,B群沙门氏菌肠炎,003,QSMSJCY,第1章 某些传染病和寄生虫病 (A00-B99)
A02.002,C群沙门氏菌肠炎,003,QSMSJCY,第1章 某些传染病和寄生虫病 (A00-B99)
A02.003,阿哥拉沙门氏菌肠炎,003,AGLSMSJCY,第1章 某些传染病和寄生虫病 (A00-B99)
A02.004,沙门氏菌性肠炎,003,SMSJXCY,第1章 某些传染病和寄生虫病 (A00-B99)
A02.005,沙门氏菌伦敦血清型肠炎,003,SMSJLDXQXCY,第1章 某些传染病和寄生虫病 (A00-B99)
A02.006,沙门氏菌胃肠炎,003,SMSJWCY,第1章 某些传染病和寄生虫病 (A00-B99)
A02.008,婴儿沙门氏菌肠炎,003,YESMSJCY,第1章 某些传染病和寄生虫病 (A00-B99)
A02.101,沙门氏菌败血症,003,SMSJBXZ,第1章 某些传染病和寄生虫病 (A00-B99)
A02.102,沙门氏菌鼠伤寒伴有败血症,003,SMSJSSHBYBXZ,第1章 某些传染病和寄生虫病 (A00-B99)
A02.201+ J17.004*,沙门氏菌性肺炎,003,SMSJXFY,第1章 某些传染病和寄生虫病 (A00-B99)
A02.202+ M01.301*,沙门氏菌性关节炎,003,SMSJXGJY,第1章 某些传染病和寄生虫病 (A00-B99)
A02.203+ G01.03*,沙门氏菌性脑膜炎,003,SMSJXNMY,第1章 某些传染病和寄生虫病 (A00-B99)
A02.901,沙门氏菌感染,003,SMSJGR,第1章 某些传染病和寄生虫病 (A00-B99)
A02.902,鼠伤寒沙门氏菌感染,003,SSHSMSJGR,第1章 某些传染病和寄生虫病 (A00-B99)
A02.903,沙门氏菌属食物中毒,003,SMSJSSWZD,第1章 某些传染病和寄生虫病 (A00-B99)
A02.904,猪霍乱沙门氏菌感染,007,ZHLSMSJGR,第1章 某些传染病和寄生虫病 (A00-B99)
A03.001,什密氏志贺菌痢疾,006,SMSZHJLJ,第1章 某些传染病和寄生虫病 (A00-B99)
A03.101,弗氏志贺菌痢疾,006,FSZHJLJ,第1章 某些传染病和寄生虫病 (A00-B99)
A03.201,鲍氏志贺菌痢疾,006,BSZHJLJ,第1章 某些传染病和寄生虫病 (A00-B99)
A03.301,宋内氏志贺菌痢疾,006,SNSZHJLJ,第1章 某些传染病和寄生虫病 (A00-B99)
A03.801,不定型志贺菌痢疾,006,BDXZHJLJ,第1章 某些传染病和寄生虫病 (A00-B99)
A03.802,菌痢混合感染,006,JLHHGR,第1章 某些传染病和寄生虫病 (A00-B99)
A03.901,细菌性痢疾,006,XJXLJ,第1章 某些传染病和寄生虫病 (A00-B99)
A03.902,慢性细菌性痢疾急性发作,006,MXXJXLJJXFZ,第1章 某些传染病和寄生虫病 (A00-B99)
A03.903,慢性迁延型细菌性痢疾,006,MXQYXXJXLJ,第1章 某些传染病和寄生虫病 (A00-B99)
A03.904,慢性隐伏型菌痢,006,MXYFXJL,第1章 某些传染病和寄生虫病 (A00-B99)
A03.905,中毒性痢疾,006,ZDXLJ,第1章 某些传染病和寄生虫病 (A00-B99)
A03.906,慢性细菌性痢疾,006,MXXJXLJ,第1章 某些传染病和寄生虫病 (A00-B99)
A04.001,新生儿肠病原性大肠埃希氏菌肠炎,003,XSECBYXDCAXSJCY,第1章 某些传染病和寄生虫病 (A00-B99)
A04.002,肠病原性大肠埃希氏菌肠炎,003,CBYXDCAXSJCY,第1章 某些传染病和寄生虫病 (A00-B99)
A04.101,肠毒性大肠埃希氏菌肠炎,003,CDXDCAXSJCY,第1章 某些传染病和寄生虫病 (A00-B99)
A04.102,新生儿肠毒性大肠埃希氏菌肠炎,003,XSECDXDCAXSJCY,第1章 某些传染病和寄生虫病 (A00-B99)
A04.201,侵袭性大肠埃希氏菌肠炎,003,QXXDCAXSJCY,第1章 某些传染病和寄生虫病 (A00-B99)
A04.202,新生儿侵袭性大肠杆菌肠炎,003,XSEQXXDCGJCY,第1章 某些传染病和寄生虫病 (A00-B99)
A04.301,出血性大肠埃希氏菌肠炎,003,CXXDCAXSJCY,第1章 某些传染病和寄生虫病 (A00-B99)
A04.302,新生儿出血性大肠杆菌肠炎,003,XSECXXDCGJCY,第1章 某些传染病和寄生虫病 (A00-B99)
A04.401,大肠埃希氏杆菌性肠道感染,003,DCAXSGJXCDGR,第1章 某些传染病和寄生虫病 (A00-B99)
A04.402,新生儿大肠杆菌肠炎,003,XSEDCGJCY,第1章 某些传染病和寄生虫病 (A00-B99)
A04.403,新生儿粘附性大肠杆菌肠炎,003,XSENFXDCGJCY,第1章 某些传染病和寄生虫病 (A00-B99)
A04.404,粘附性大肠杆菌肠炎,003,NFXDCGJCY,第1章 某些传染病和寄生虫病 (A00-B99)
A04.501,弯曲菌肠炎,003,WQJCY,第1章 某些传染病和寄生虫病 (A00-B99)
A04.601,耶尔森氏菌肠炎,003,YESSJCY,第1章 某些传染病和寄生虫病 (A00-B99)
A04.701,难辨梭状芽胞杆菌肠炎,003,NBSZYBGJCY,第1章 某些传染病和寄生虫病 (A00-B99)
A04.801,吡邻单胞菌肠炎,003,BLDBJCY,第1章 某些传染病和寄生虫病 (A00-B99)
A04.802,变形杆菌性肠炎,003,BXGJXCY,第1章 某些传染病和寄生虫病 (A00-B99)
A04.803,产气杆菌肠炎,003,CQGJCY,第1章 某些传染病和寄生虫病 (A00-B99)
A04.804,肠道厌氧菌感染,003,CDYYJGR,第1章 某些传染病和寄生虫病 (A00-B99)
A04.805,付霍乱,003,FHL,第1章 某些传染病和寄生虫病 (A00-B99)
A04.806,副溶血弧菌肠炎,003,FRXHJCY,第1章 某些传染病和寄生虫病 (A00-B99)
A04.807,金黄色葡萄球菌性肠炎,003,JHSPTQJXCY,第1章 某些传染病和寄生虫病 (A00-B99)
A04.808,绿脓杆菌性肠炎,003,LNGJXCY,第1章 某些传染病和寄生虫病 (A00-B99)
A04.809,难辨芽胞杆菌肠炎,003,NBYBGJCY,第1章 某些传染病和寄生虫病 (A00-B99)
A04.810,嗜水气单胞菌肠炎,003,SSQDBJCY,第1章 某些传染病和寄生虫病 (A00-B99)
A04.811,弧菌性肠炎,007,HJXCY,第1章 某些传染病和寄生虫病 (A00-B99)
A04.901,肠道感染,003,CDGR,第1章 某些传染病和寄生虫病 (A00-B99)
A04.902,细菌性肠炎,003,XJXCY,第1章 某些传染病和寄生虫病 (A00-B99)
A04.903,感染性腹泻,003,GRXFX,第1章 某些传染病和寄生虫病 (A00-B99)
A04.904,细菌性结肠炎,003,XJXJCY,第1章 某些传染病和寄生虫病 (A00-B99)
A05.001,葡萄球菌性食物中毒,003,PTQJXSWZD,第1章 某些传染病和寄生虫病 (A00-B99)
A05.101,肉毒中毒,003,RDZD,第1章 某些传染病和寄生虫病 (A00-B99)
A05.201,出血性坏死性肠炎,003,CXXHSXCY,第1章 某些传染病和寄生虫病 (A00-B99)
A05.202,急性出血性坏死性肠炎,003,JXCXXHSXCY,第1章 某些传染病和寄生虫病 (A00-B99)
A05.203,急性坏死性肠炎,003,JXHSXCY,第1章 某些传染病和寄生虫病 (A00-B99)
A05.301,副溶血弧菌性食物中毒,003,FRXHJXSWZD,第1章 某些传染病和寄生虫病 (A00-B99)
A05.901,细菌性食物中毒,003,XJXSWZD,第1章 某些传染病和寄生虫病 (A00-B99)
A06.001,阿米巴性肠炎,003,AMBXCY,第1章 某些传染病和寄生虫病 (A00-B99)
A06.002,阿米巴性结肠炎,003,AMBXJCY,第1章 某些传染病和寄生虫病 (A00-B99)
A06.003,阿米巴性痢疾,003,AMBXLJ,第1章 某些传染病和寄生虫病 (A00-B99)
A06.004,肠道阿米巴病,003,CDAMBB,第1章 某些传染病和寄生虫病 (A00-B99)
A06.005,急性阿米巴痢疾,003,JXAMBLJ,第1章 某些传染病和寄生虫病 (A00-B99)
A06.101,慢性肠道阿米巴病,003,MXCDAMBB,第1章 某些传染病和寄生虫病 (A00-B99)
A06.201,非痢疾性阿米巴结肠炎,003,FLJXAMBJCY,第1章 某些传染病和寄生虫病 (A00-B99)
A06.301,阿米巴性肉芽肿(阿米巴瘤),003,AMBXRYZAMBL,第1章 某些传染病和寄生虫病 (A00-B99)
A06.401,阿米巴性肝脓肿,003,AMBXGNZ,第1章 某些传染病和寄生虫病 (A00-B99)
A06.402,肝阿米巴病,003,GAMBB,第1章 某些传染病和寄生虫病 (A00-B99)
