# 知识图谱疾病/病症列表 - 中医（共 1027 条）
# 格式：名称 | 来源 | 频次
积聚类病 | admission,discharge | 3915
肺积 | admission,discharge | 2620
肺积 痰瘀互结证 | admission,discharge | 1504
血证 | admission,discharge | 1433
癌病 | discharge | 1334
噎膈病 | discharge | 1053
肺积 痰瘀互结 | admission | 823
积聚病 | discharge | 539
肺肿瘤 | admission,discharge | 484
乳癌 | discharge | 419
髓劳 | admission,discharge | 363
内科病 | admission,discharge | 353
积聚 正虚毒结证 | admission | 331
积聚 正虚瘀结证 | admission | 300
血证 气血亏虚 | admission | 282
血症 气血亏虚证 | admission | 242
血证 气血亏虚证 | admission | 221
血症 气血亏虚 | admission | 203
噎嗝 气阴两虚证 | admission | 188
肺肿瘤 痰瘀互结证 | admission | 186
积聚 痰瘀互结证 | admission | 180
脑瘤 | admission,discharge | 171
积聚 脾胃虚弱证 | admission | 166
积聚 痰瘀互结 | admission | 157
噎膈 正虚毒结证 | admission | 148
积聚 正虚毒结 | admission | 146
血症 气血亏虚型 | admission | 142
脑瘤 瘀血阻络证 | admission | 133
积聚 肝郁脾虚证 | admission | 129
虚劳 气血亏虚证 | admission | 127
癥瘕病 | discharge | 125
结肠恶性肿瘤 | discharge | 123
积聚 痰结毒滞证 | admission | 113
髓劳 气血亏虚 | admission | 111
肝积 气滞水停 | admission | 105
积聚 气血两虚证 | admission | 99
乳癖 | discharge | 98
积聚病 痰瘀互结证 | admission | 98
乳癌 脾胃虚弱证 | admission | 95
瘰疬 气血两虚证 | admission | 94
肺积 痰结毒滞证 | admission | 94
瘰疬 | admission,discharge | 90
虚劳类病 | discharge | 88
血证类 气血亏虚 | admission | 85
积聚病 肺气亏虚证 | admission | 84
肺肿瘤 痰瘀互结 | admission | 84
乳岩 | admission,discharge | 81
积证 正虚毒结证 | admission | 80
噎膈 痰瘀互结 | admission | 78
乳癌病 | discharge | 75
肺积 气阴两虚证 | admission,discharge | 75
乳癖 气滞血瘀 | admission | 74
积聚 肝郁血虚证 | admission | 74
肠癌 脾肾阳虚证 | admission | 73
髓劳 气血两虚证 | admission | 73
积聚病 正虚瘀结证 | admission | 72
血劳 | discharge | 70
积聚 气阴两虚证 | admission,discharge | 69
肝积 | admission,discharge | 65
肝积 痰瘀互结 | admission | 65
髓劳 气血亏虚证 | admission | 64
噎嗝 气阴两虚 | admission | 62
肺积 肺脾气虚症 | admission | 59
乳核 | discharge | 58
噎膈病 气虚血瘀症 | admission | 57
瘰疬病 | discharge | 57
积聚 气滞血瘀证 | admission | 53
乳核 肝气郁结证 | admission | 52
肠覃 | discharge | 52
乳岩 痰瘀互结证 | admission | 51
噎嗝 | admission,discharge | 51
噎膈 气阴两虚证 | admission | 51
血症 气阴两虚证 | admission | 51
乳岩 肝郁脾虚证 | admission | 50
噎膈病 气阴两虚证 | admission | 50
血证类 气血亏虚证 | admission | 50
内科瘤病 | discharge | 48
噎膈 脾胃气虚 | admission | 45
积聚 气阴两虚 | admission | 44
鼻窦癌 脾肾阳虚 | admission | 44
癥瘕 正虚毒结证 | admission | 43
肠痹 | discharge | 42
乳癌 正虚毒结 | admission | 38
癥瘕 | admission,discharge | 38
积聚 气滞血瘀型 | admission | 38
骨瘤 | discharge | 38
嗝噎 气阴两虚证 | admission | 37
癃闭 | admission,discharge | 37
癥瘕 气阴两虚 | admission | 35
乳癌病 脾胃虚弱证 | admission | 34
肠痹 脾肾阳虚证 | admission | 33
肠蕈 痰瘀互结 | admission | 33
乳岩 脾胃虚弱证 | admission | 32
乳癌 气虚血瘀 | admission | 32
癥痂 正虚瘀结证 | admission | 31
积聚病 正虚毒结证 | admission | 31
乳癖病 | discharge | 30
积聚病 脾肾气虚证 | admission | 30
肝积 正虚瘀结证 | admission,discharge | 30
脑瘤 痰瘀互结证 | admission | 30
内科病 气血亏虚 | admission | 29
瘰疬 气血亏虚证 | admission | 29
积证 正虚瘀结证 | admission | 29
肺积 痰淤互结症 | admission | 29
内科瘤病 气血两虚证 | admission | 28
骨瘤 痰结毒滞证 | admission | 28
肠癖 | admission,discharge | 27
脑瘤 痰瘀互结 | admission | 27
乳岩 气阴两虚证 | admission | 26
噎膈 气阴两虚 | admission | 26
噎膈 阴虚毒结证 | admission | 26
积聚 气阴两虚症 | admission | 26
积聚 热毒内蕴证 | admission | 26
积聚病 肺气虚衰证 | admission | 26
肺积 肺气亏虚证 | admission | 26
肺积病 痰瘀互结证 | admission | 26
骨痹 | discharge | 26
髓劳 气血亏虚型 | admission | 26
乳岩 正虚毒结证 | admission | 25
乳癌病 正虚毒结证 | admission | 25
癃闭 气虚血瘀 | admission | 25
积聚 气滞湿阻证 | admission | 25
积聚 脾虚痰湿证 | admission | 25
积聚类病 气虚血瘀型 | admission | 25
噎膈 痰瘀互结证 | admission | 24
积聚病 气滞血瘀证 | admission | 24
积证 证虚毒结证 | admission | 24
骨痹 气血两虚证 | admission | 24
内科病 气血亏虚证 | admission | 23
