# 知识图谱疾病/病症列表 - 中医证型（共 364 条）
# 格式：名称 | 来源 | 频次
气阴两虚证 | admission | 1425
正虚瘀结证 | admission | 1216
气血亏虚证 | admission | 1138
脾胃虚弱证 | admission | 780
气血两虚证 | admission | 701
痰结毒滞证 | admission | 621
气滞血瘀证 | admission | 486
本虚标实之证 | admission | 481
肝郁脾虚证 | admission | 416
气血亏虚型 | admission | 413
瘀血阻络证 | admission | 346
脾肾阳虚证 | admission | 278
血证、气血亏虚证 | admission | 271
肺气亏虚证 | admission | 262
气滞水停证 | admission | 249
血症、气血亏虚证 | admission | 242
积证 | admission | 225
肺气虚衰证 | admission | 188
肝郁血虚证 | admission | 186
肺脾气虚症 | admission | 186
脾虚痰湿证 | admission | 165
血症、气血亏虚型 | admission | 142
正虚毒结型 | admission | 132
肺积，痰瘀互结证 | admission | 124
气滞湿阻证 | admission | 118
气虚血瘀症 | admission | 118
肺癌，痰结毒滞证。本病病位在肺，为本虚标实之证 | admission | 115
肝气郁结证 | admission | 110
气滞血瘀型 | admission | 102
气阴两虚症 | admission | 99
湿热蕴结证 | admission | 97
积证、正虚毒结证 | admission | 87
脾肾气虚证 | admission | 84
肺癌，痰瘀互结证 | admission | 79
食管癌，正虚毒结证，为本虚标实之证 | admission | 78
乳岩，气滞血瘀证 | admission | 74
热毒内蕴证 | admission | 74
痰瘀互结症 | admission | 70
脾虚湿蕴证 | admission | 67
阴虚毒结证 | admission | 64
脾肾两虚证 | admission | 63
痰淤互结症 | admission | 58
湿毒蕴结证 | admission | 53
痰浊阻肺证 | admission | 52
血症、气阴两虚证 | admission | 51
气虚血瘀型 | admission | 50
肝郁气滞证 | admission | 50
气血瘀阻证 | admission | 48
风痰阻络证 | admission | 48
肺脾两虚证 | admission | 46
肾阴亏虚证 | admission | 46
脾胃气虚证 | admission | 46
肝癌，气滞水停证，为本虚标实之证 | admission | 42
肝肾阴虚型 | admission | 40
阴液亏虚证 | admission | 40
子宫癌，正虚毒结证 | admission | 38
阴虚风动证 | admission | 38
脾虚肝郁证 | admission | 37
