# 知识图谱疾病/病症列表 - 西医（共 1596 条）
# 格式：名称 | 来源 | 频次
右肺恶性肿瘤 | admission,discharge | 2110
左肺恶性肿瘤 | admission,discharge | 1971
恶性肿瘤终末期维持治疗 | admission,discharge | 1936
脑梗死 | admission,discharge | 1816
淋巴结继发恶性肿瘤 | admission,discharge | 1731
肺气肿 | admission,discharge | 1225
骨继发恶性肿瘤 | admission,discharge | 1212
化疗后骨髓抑制 | admission,discharge | 996
胸腔积液 | admission,discharge | 968
恶性肿瘤终末期化疗 | admission,discharge | 910
肝囊肿 | admission,discharge | 875
肺大疱 | admission,discharge | 763
脑继发恶性肿瘤 | admission,discharge | 706
慢性乙型病毒性肝炎 | admission,discharge | 699
肺占位性病变 | admission,discharge | 634
恶性肿瘤终末期靶向治疗 | admission,discharge | 629
慢性胃炎 | admission,discharge | 588
低蛋白血症 | admission,discharge | 577
肺继发恶性肿瘤 | admission,discharge | 574
脂肪肝 | admission,discharge | 566
肺结节病 | admission,discharge | 561
急性髓系白血病 | admission,discharge | 534
恶性肿瘤终末期免疫治疗 | admission,discharge | 494
胆囊结石 | admission,discharge | 445
脾大 | admission,discharge | 425
胆囊炎 | admission,discharge | 418
恶性胸腔积液 | admission,discharge | 398
肝损伤 | admission,discharge | 388
乳腺恶性肿瘤，外侧 | admission,discharge | 362
脑萎缩 | admission,discharge | 361
腹腔积液 | admission,discharge | 354
心包积液 | admission,discharge | 341
多发性骨髓瘤 | admission,discharge | 329
急性白血病 | admission,discharge | 326
慢性支气管炎 | admission,discharge | 323
重度再生障碍性贫血 | admission,discharge | 323
肝硬化 | admission,discharge | 316
乙型病毒性肝炎 | admission,discharge | 309
心律失常 | admission,discharge | 302
窦性心动过速 | admission,discharge | 296
2型糖尿病 | admission,discharge | 288
单纯性肾囊肿 | admission,discharge | 286
慢性疼痛，其他的 | admission,discharge | 281
贲门恶性肿瘤 | admission,discharge | 276
房性期前收缩[房性早搏] | admission,discharge | 266
盆腔积液 | admission,discharge | 266
肺不张 | admission,discharge | 258
胃炎 | admission,discharge | 251
肝功能不全 | admission,discharge | 228
肾恶性肿瘤 | admission,discharge | 218
呼吸衰竭 | admission,discharge | 206
腰椎间盘突出 | admission,discharge | 201
肺气肿合并肺大泡 | admission,discharge | 198
疼痛 | admission,discharge | 192
重度贫血 | admission,discharge | 178
子宫恶性肿瘤 | admission,discharge | 177
胆管恶性肿瘤 | admission,discharge | 175
前列腺增生 | admission,discharge | 168
心力衰竭 | admission,discharge | 168
癫痫 | admission,discharge | 166
肾上腺继发性恶性肿瘤 | admission,discharge | 166
腹腔继发恶性肿瘤 | admission,discharge | 165
弥漫大B细胞淋巴瘤 | admission,discharge | 163
肾结石 | admission,discharge | 160
恶性腹水 | admission,discharge | 158
恶性肿瘤免疫治疗 | admission,discharge | 148
甲状腺功能减退症 | admission,discharge | 146
肾功能不全 | admission,discharge | 146
低钾血症 | admission,discharge | 138
喉恶性肿瘤 | admission,discharge | 138
淋巴结增大 | admission,discharge | 137
慢性阻塞性肺病 | admission,discharge | 136
窦性心动过缓 | admission,discharge | 136
乳腺恶性肿瘤，上部 | admission,discharge | 135
上呼吸道感染 | admission,discharge | 129
恶性肿瘤靶向治疗 | admission,discharge | 129
药物性肝损害 | admission,discharge | 127
室性期前收缩 | admission,discharge | 126
胸膜继发性恶性肿瘤 | admission,discharge | 126
肝占位性病变 | admission,discharge | 125
子宫内膜恶性肿瘤 | admission,discharge | 122
消化道出血 | admission,discharge | 116
鼻窦恶性肿瘤 | admission,discharge | 116
胆囊恶性肿瘤 | admission,discharge | 115
中度贫血 | admission,discharge | 111
盆腔继发恶性肿瘤 | admission,discharge | 108
心功能不全 | admission,discharge | 105
