# 知识图谱药品列表（共 3888 条）
# 格式：药品名称 | 出现频次 | 原始名称数量
9%氯化钠注射液 | 134206 | 2
5%葡萄糖注射液 | 25224 | 2
地塞米松注射液 | 16345 | 2
甲氧氯普胺注射液 | 12245 | 1
葡萄糖测定 | 11595 | 1
维生素B6注射液 | 10277 | 2
参芪扶正注射液 | 10072 | 2
维生素C注射液 | 9887 | 2
复方斑蝥胶囊 | 9084 | 2
华蟾素胶囊 | 8505 | 2
耳针 | 7274 | 1
昂丹司琼注射液 | 7208 | 2
鸦胆子油乳注射液 | 7185 | 2
小金丸 | 7025 | 2
穴位贴敷治疗 | 6326 | 1
艾司奥美拉唑钠粉针 | 6058 | 1
烟酰胺注射液 | 5606 | 1
不规则抗体筛查 | 5415 | 1
艾箱灸 | 5347 | 1
呋塞米注射液 | 5315 | 2
中药硬膏热贴敷治疗 | 5122 | 1
生血宝颗粒 | 4998 | 2
静脉输血 | 4921 | 1
西咪替丁注射液 | 4906 | 1
法莫替丁粉针 | 4899 | 2
导管冲洗器 | 4693 | 1
西黄丸 | 4518 | 1
盐酸吗啡注射液 | 4287 | 1
中药熏洗治疗 | 4201 | 1
注射用泮托拉唑钠 | 4178 | 1
输血反映征动态监测 | 4126 | 1
吗啡缓释片 | 4120 | 1
地塞米松磷酸钠注射液 | 3931 | 2
复方氨林巴比妥注射液 | 3826 | 1
斑蝥酸钠维生素B6注射液 | 3811 | 1
避光输液器 | 3673 | 1
红芪 | 3625 | 1
血型鉴定(输血用) | 3540 | 1
雷尼替丁注射液 | 3527 | 1
白细胞除滤 | 3510 | 1
疑难交叉配血 | 3482 | 1
小换药 | 3419 | 1
陈皮 | 3324 | 1
茯苓 | 3298 | 1
手工分红细胞悬液 | 3164 | 1
甲泼尼龙琥珀酸钠粉针 | 3126 | 1
肿瘤十项 | 2945 | 1
甲地孕酮片 | 2883 | 1
麸炒白术 | 2873 | 1
氧气吸入 | 2836 | 1
司坦唑醇片 | 2832 | 1
昂丹司琼片 | 2827 | 2
刺五加注射液 | 2821 | 1
复方氨基酸注射液 | 2749 | 2
中药热奄包治疗 | 2713 | 1
利多卡因注射液 | 2651 | 2
复方苦参注射液 | 2644 | 1
碘海醇注射液 | 2636 | 2
黄芪 | 2635 | 1
氯化钾注射液(塑瓶) | 2614 | 1
乳果糖口服溶液 | 2610 | 2
开塞露 | 2577 | 1
多潘立酮片 | 2569 | 2
茯苓kl | 2501 | 1
甘露醇注射液 | 2407 | 2
艾愈胶囊 | 2356 | 1
低频脉冲治疗 | 2271 | 1
党参kl | 2255 | 1
生脉注射液 | 2227 | 2
环孢素软胶囊 | 2223 | 1
当归 | 2184 | 1
麸炒白术kl | 2179 | 1
静脉穿刺置管术 | 2107 | 1
大枣 | 2086 | 1
太子参kl | 2056 | 1
人粒细胞刺激因子注射液 | 2055 | 2
北柴胡 | 2054 | 1
环磷腺苷粉针 | 1982 | 2
左氧氟沙星氯化钠注射液 | 1980 | 2
注射用艾普拉唑钠(国谈) | 1977 | 1
机采血小板 | 1963 | 1
云南白药胶囊 | 1958 | 1
西黄胶囊 | 1953 | 1
生地黄kl | 1950 | 1
黄芪kl | 1950 | 1
盐酸羟考酮缓释片 | 1934 | 1
一次性无菌输液接头 | 1933 | 1
太子参 | 1906 | 1
参麦注射液 | 1885 | 2
奥美拉唑肠溶胶囊 | 1864 | 2
熟地黄kl | 1857 | 1
地榆升白片 | 1849 | 1
阿胶kl | 1826 | 1
熟地黄 | 1759 | 1
党参片 | 1732 | 1
酚磺乙胺注射液 | 1732 | 1
B型钠尿肽前体(PRO-BNP)测定 | 1691 | 1
局部浸润麻醉 | 1684 | 1
还原型谷胱苷肽粉针 | 1672 | 1
华蟾素片 | 1623 | 2
注射用水 | 1607 | 1
沙利度胺片 | 1597 | 1
党参 | 1587 | 1
异丙嗪注射液 | 1587 | 1
仙鹤草 | 1573 | 1
醋酸甲地孕酮分散片 | 1568 | 1
复方甘草酸苷注射液 | 1553 | 2
布地奈德混悬液 | 1550 | 2
木香 | 1544 | 1
新冠核酸检测 | 1543 | 1
炙甘草kl | 1531 | 1
泽泻kl | 1523 | 1
醋鸡内金kl | 1511 | 1
健脾生血片 | 1487 | 1
头孢唑肟钠粉针 | 1486 | 1
丹参注射液 | 1483 | 2
牡丹皮kl | 1483 | 1
氯化钾注射液 | 1463 | 1
磁共振平扫 | 1454 | 1
五项监测 | 1449 | 1
强力枇杷露(无糖型) | 1436 | 1
地黄 | 1425 | 1
血型鉴定 | 1417 | 1
姜半夏 | 1413 | 1
酒黄精kl | 1404 | 1
一体式湿化雾化鼻(吸)氧管 | 1393 | 1
芬太尼透皮贴剂 | 1376 | 1
川贝母kl | 1368 | 1
头孢他啶粉针 | 1365 | 2
炙甘草 | 1356 | 1
热毒宁注射液 | 1352 | 2
微量泵 | 1346 | 1
氨溴索口服液 | 1333 | 1
甲泼尼龙琥珀酸钠针 | 1332 | 1
肺力咳合剂 | 1329 | 2
当归kl | 1328 | 1
氨甲苯酸注射液 | 1327 | 1
血浆、机采血小板、冷沉淀配血 | 1327 | 1
蛇毒血凝酶注射液 | 1324 | 2
注射用奥美拉唑钠 | 1321 | 1
泽泻 | 1318 | 1
阿胶 | 1312 | 1
10%葡萄糖注射液 | 1308 | 2
洛铂粉针 | 1307 | 2
墨旱莲kl | 1301 | 1
肝爽颗粒 | 1298 | 1
鸦胆子油软胶囊 | 1297 | 1
可待因片 | 1289 | 1
曲马多注射液 | 1289 | 1
牡丹皮 | 1286 | 1
制何首乌kl | 1276 | 1
水胶体敷料10*10 | 1269 | 1
陈皮kl | 1264 | 1
谷胱苷肽针 | 1262 | 2
麸炒薏苡仁 | 1261 | 1
补中益气颗粒 | 1249 | 1
仙鹤草kl | 1228 | 1
健肝乐颗粒 | 1224 | 1
异常糖链糖蛋白检测 | 1223 | 1
甘草片 | 1212 | 1
白芍 | 1200 | 1
黄芪注射液 | 1196 | 1
通关藤口服液 | 1195 | 1
卡铂粉针 | 1192 | 1
重组人促红素注射液 | 1171 | 1
苯唑西林钠粉针 | 1161 | 2
四磨汤口服液 | 1160 | 1
阿普唑仑片 | 1152 | 1
ABO红细胞定型 | 1149 | 1
感冒灵颗粒 | 1145 | 1
润肺膏 | 1145 | 1
粪便常规自动分析 | 1143 | 1
螺内酯片 | 1136 | 1
麦冬 | 1134 | 1
氯化钠注射液 | 1132 | 1
布洛芬混悬液 | 1125 | 2
人血白蛋白注射液 | 1122 | 1
酒萸肉kl | 1117 | 1
人促红素注射液 | 1116 | 2
玄参kl | 1115 | 1
特布他林雾化液 | 1109 | 2
紫杉醇(白蛋白结合型)粉针 | 1104 | 2
莫西沙星氯化钠注射液 | 1099 | 2
康莱特注射液 | 1096 | 1
北沙参kl | 1087 | 1
大枣kl | 1082 | 1
北沙参 | 1079 | 1
砂仁 | 1077 | 1
B型钠尿肽(BNP)测定 | 1067 | 1
中/长链脂肪乳注射液(C8-C24Ve) | 1066 | 1
测血压 bid | 1066 | 1
白术 | 1052 | 1
头孢呋辛钠粉针 | 1040 | 2
白茅根 | 1040 | 1
碘克沙醇注射液 | 1034 | 2
半枝莲 | 1026 | 1
蒙脱石散 | 1024 | 2
替吉奥胶囊 | 1012 | 2
卡培他滨片 | 990 | 2
10%氯化钠注射液 | 983 | 1
双歧杆菌四联活菌片 | 982 | 1
鸡内金 | 973 | 1
艾司奥美拉唑镁肠溶胶囊 | 961 | 1
川贝母 | 944 | 1
盐酸曲马多片 | 938 | 1
枸杞子 | 936 | 1
全蝎 | 931 | 1
奥美拉唑钠粉针 | 930 | 1
木香kl | 929 | 1
重组人粒细胞刺激因子(预充式)注射液 | 916 | 1
钆特酸葡胺注射液 | 912 | 1
艾司奥美拉唑粉针 | 909 | 1
C—反应蛋白定量测定(包括超敏/CRP) | 901 | 1
酒萸肉 | 889 | 1
墨旱莲 | 887 | 1
磁共振增强扫描 | 880 | 1
砂仁kl | 876 | 1
桂枝 | 875 | 1
艾司唑仑片 | 875 | 1
维生素B12注射液 | 870 | 2
