standard_name	frequency	icd10_code	icd10_name	match_method	match_score
肺恶性肿瘤	4172	C34.901	支气管和肺恶性肿瘤	人工覆盖	100.0
恶性肿瘤终末期	4038	C80.x01	恶性肿瘤	人工覆盖	100.0
脑梗死	1941	I63.901	脑梗死	人工覆盖	100.0
淋巴结继发恶性肿瘤	1731	C77.901	淋巴结继发性恶性肿瘤	人工覆盖	100.0
肺气肿	1225	J43.901	肺气肿	人工覆盖	100.0
骨继发恶性肿瘤	1212	C79.501	骨继发性恶性肿瘤	人工覆盖	100.0
胸腔积液	974	J90.x01	胸腔积液	人工覆盖	100.0
脑继发恶性肿瘤	709	C79.301	脑继发性恶性肿瘤	人工覆盖	100.0
慢性乙型病毒性肝炎	699	K73.901	慢性乙型病毒性肝炎	人工覆盖	100.0
肺继发恶性肿瘤	671	C78.001	肺继发性恶性肿瘤	人工覆盖	100.0
慢性胃炎	660	K29.501	慢性胃炎	人工覆盖	100.0
低蛋白血症	577	E46.x01	低蛋白血症	人工覆盖	100.0
脂肪肝	566	K76.001	脂肪肝	人工覆盖	100.0
急性髓系白血病	543	C92.001	急性髓细胞白血病	人工覆盖	100.0
乳腺恶性肿瘤	515	C50.901	乳房恶性肿瘤	人工覆盖	100.0
胆囊结石	448	K80.101	胆囊结石	人工覆盖	100.0
胆囊炎	418	K81.001	胆囊炎	人工覆盖	100.0
肾囊肿	347	N28.101	肾囊肿	人工覆盖	100.0
多发性骨髓瘤	330	C90.002	多发性骨髓瘤	人工覆盖	100.0
贫血	323	D64.901	贫血	人工覆盖	100.0
肝硬化	316	K74.601	肝硬化	人工覆盖	100.0
心律失常	304	I49.901	心律失常	人工覆盖	100.0
窦性心动过速	296	R00.001	心动过速	人工覆盖	100.0
贲门恶性肿瘤	289	C16.001	贲门恶性肿瘤	人工覆盖	100.0
2型糖尿病	288	E11.901	2型糖尿病	人工覆盖	100.0
心力衰竭	283	I50.907	心力衰竭	人工覆盖	100.0
肾恶性肿瘤	218	C64.x01	肾恶性肿瘤	人工覆盖	100.0
慢性阻塞性肺疾病	198	J44.901	慢性阻塞性肺疾病	人工覆盖	100.0
疼痛	192	R52.901	疼痛	人工覆盖	100.0
高血压3级	182	I10.x02	高血压	人工覆盖	100.0
胆管恶性肿瘤	175	C24.001	胆管恶性肿瘤	人工覆盖	100.0
弥漫大B细胞淋巴瘤	163	C83.301	弥漫大B细胞淋巴瘤	人工覆盖	100.0
肾结石	160	N20.001	肾结石	人工覆盖	100.0
恶性肿瘤免疫治疗	154	Z51.802	恶性肿瘤免疫治疗	人工覆盖	100.0
心房颤动	152	I48.x01	心房颤动	人工覆盖	100.0
子宫内膜恶性肿瘤	146	C54.101	子宫内膜恶性肿瘤	人工覆盖	100.0
肾功能不全	146	N19.x01	肾功能不全	人工覆盖	100.0
喉恶性肿瘤	138	C32.901	喉恶性肿瘤	人工覆盖	100.0
窦性心动过缓	136	R00.101	心动过缓	人工覆盖	100.0
恶性肿瘤靶向治疗	130	Z51.801	恶性肿瘤靶向治疗	人工覆盖	100.0
慢性粒细胞白血病	115	C92.101	慢性粒细胞白血病	人工覆盖	100.0
胆囊恶性肿瘤	115	C23.x01	胆囊恶性肿瘤	人工覆盖	100.0
