# 西医病症标准化列表（共 1347 条唯一标准病症）
# 格式：标准名称 | 总频次
肺恶性肿瘤 | 4172
恶性肿瘤终末期 | 4038
脑梗死 | 1941
淋巴结继发恶性肿瘤 | 1731
肺气肿 | 1225
骨继发恶性肿瘤 | 1212
化疗后骨髓抑制 | 996
胸腔积液 | 974
肝囊肿 | 876
肺大疱 | 764
脑继发恶性肿瘤 | 709
慢性乙型病毒性肝炎 | 699
肺占位性病变 | 683
肺继发恶性肿瘤 | 671
慢性胃炎 | 660
低蛋白血症 | 577
脂肪肝 | 566
肺结节病 | 561
急性髓系白血病 | 543
乳腺恶性肿瘤 | 515
胆囊结石 | 448
脾大 | 425
胆囊炎 | 418
恶性胸腔积液 | 398
肝损伤 | 392
脑萎缩 | 361
腹腔积液 | 358
慢性支气管炎 | 351
肾囊肿 | 347
心包积液 | 344
多发性骨髓瘤 | 330
急性白血病 | 326
贫血 | 323
重型再生障碍性贫血 | 323
肝硬化 | 316
乙型病毒性肝炎 | 309
心律失常 | 304
窦性心动过速 | 296
贲门恶性肿瘤 | 289
2型糖尿病 | 288
心力衰竭 | 283
慢性疼痛 | 282
房性期前收缩 | 266
盆腔积液 | 266
肺不张 | 259
胃炎 | 251
肝功能不全 | 228
肾恶性肿瘤 | 218
呼吸衰竭 | 206
腰椎间盘突出 | 205
慢性阻塞性肺疾病 | 198
淋巴结肿大 | 198
肺气肿合并肺大疱 | 198
疼痛 | 192
高血压3级 | 182
子宫恶性肿瘤 | 177
胆管恶性肿瘤 | 175
癫痫 | 170
前列腺增生 | 168
肾上腺继发恶性肿瘤 | 166
腹腔继发恶性肿瘤 | 165
弥漫大B细胞淋巴瘤 | 163
肾结石 | 160
恶性腹水 | 158
恶性肿瘤免疫治疗 | 154
心房颤动 | 152
子宫内膜恶性肿瘤 | 146
甲状腺功能减退症 | 146
肾功能不全 | 146
肝占位性病变 | 142
低钾血症 | 138
喉恶性肿瘤 | 138
窦性心动过缓 | 136
恶性肿瘤靶向治疗 | 130
上呼吸道感染 | 129
药物性肝损伤 | 127
室性期前收缩 | 126
胸膜继发恶性肿瘤 | 126
消化道出血 | 119
肋骨骨折 | 119
鼻窦恶性肿瘤 | 116
慢性粒细胞白血病 | 115
胆囊恶性肿瘤 | 115
电解质紊乱 | 108
盆腔继发恶性肿瘤 | 108
子宫切除术后状态 | 103
不完全性右束支传导阻滞 | 101
结肠恶性肿瘤 | 101
甲状腺结节 | 100
阻塞性肺炎 | 100
腹膜继发恶性肿瘤 | 92
肠梗阻 | 91
恶性黑色素瘤 | 90
骨髓增殖性肿瘤 | 88
上颌窦炎 | 87
输尿管恶性肿瘤 | 87
胃肠道恶性肿瘤 | 86
幽门螺旋杆菌感染 | 84
心动过速 | 84
恶性肿瘤化学治疗 | 84
脾继发恶性肿瘤 | 84
胃食管连接处恶性肿瘤 | 83
肝继发恶性肿瘤 | 80
下肢静脉血栓形成 | 78
窦性心律失常 | 78
非霍奇金淋巴瘤 | 78
低钠血症 | 77
双肺恶性肿瘤 | 76
陈旧性肺结核 | 72
原发性骨髓纤维化 | 71
肾性贫血 | 71
肝血管瘤 | 70
恶性肿瘤内分泌治疗 | 69
先天性肺大疱 | 68
末梢神经病 | 68
支气管扩张伴感染 | 67
舌恶性肿瘤 | 67
颈椎病 | 67
高血压2级 | 67
慢性丙型病毒性肝炎 | 66
肾继发恶性肿瘤 | 66
腹部恶性肿瘤 | 66
大网膜继发恶性肿瘤 | 65
