原始名称	标准名称	映射规则	频次	来源
右肺恶性肿瘤	肺恶性肿瘤	解剖方位归一	2110	admission,discharge
左肺恶性肿瘤	肺恶性肿瘤	解剖方位归一	1971	admission,discharge
恶性肿瘤终末期维持治疗	恶性肿瘤终末期	治疗状态归一	1936	admission,discharge
脑梗死	脑梗死	原始名称	1816	admission,discharge
淋巴结继发恶性肿瘤	淋巴结继发恶性肿瘤	原始名称	1731	admission,discharge
肺气肿	肺气肿	原始名称	1225	admission,discharge
骨继发恶性肿瘤	骨继发恶性肿瘤	原始名称	1212	admission,discharge
化疗后骨髓抑制	化疗后骨髓抑制	原始名称	996	admission,discharge
胸腔积液	胸腔积液	原始名称	968	admission,discharge
恶性肿瘤终末期化疗	恶性肿瘤终末期	同义词映射	910	admission,discharge
肝囊肿	肝囊肿	原始名称	875	admission,discharge
肺大疱	肺大疱	原始名称	763	admission,discharge
脑继发恶性肿瘤	脑继发恶性肿瘤	原始名称	706	admission,discharge
慢性乙型病毒性肝炎	慢性乙型病毒性肝炎	原始名称	699	admission,discharge
肺占位性病变	肺占位性病变	原始名称	634	admission,discharge
恶性肿瘤终末期靶向治疗	恶性肿瘤终末期	治疗状态归一	629	admission,discharge
慢性胃炎	慢性胃炎	原始名称	588	admission,discharge
低蛋白血症	低蛋白血症	原始名称	577	admission,discharge
肺继发恶性肿瘤	肺继发恶性肿瘤	原始名称	574	admission,discharge
脂肪肝	脂肪肝	原始名称	566	admission,discharge
肺结节病	肺结节病	原始名称	561	admission,discharge
急性髓系白血病	急性髓系白血病	原始名称	534	admission,discharge
恶性肿瘤终末期免疫治疗	恶性肿瘤终末期	治疗状态归一	494	admission,discharge
胆囊结石	胆囊结石	原始名称	445	admission,discharge
脾大	脾大	原始名称	425	admission,discharge
胆囊炎	胆囊炎	原始名称	418	admission,discharge
恶性胸腔积液	恶性胸腔积液	原始名称	398	admission,discharge
肝损伤	肝损伤	原始名称	388	admission,discharge
乳腺恶性肿瘤，外侧	乳腺恶性肿瘤	解剖方位归一	362	admission,discharge
脑萎缩	脑萎缩	原始名称	361	admission,discharge
腹腔积液	腹腔积液	原始名称	354	admission,discharge
心包积液	心包积液	原始名称	341	admission,discharge
多发性骨髓瘤	多发性骨髓瘤	原始名称	329	admission,discharge
急性白血病	急性白血病	原始名称	326	admission,discharge
慢性支气管炎	慢性支气管炎	原始名称	323	admission,discharge
重度再生障碍性贫血	重型再生障碍性贫血	同义词映射	323	admission,discharge
肝硬化	肝硬化	原始名称	316	admission,discharge
乙型病毒性肝炎	乙型病毒性肝炎	原始名称	309	admission,discharge
心律失常	心律失常	原始名称	302	admission,discharge
窦性心动过速	窦性心动过速	原始名称	296	admission,discharge
2型糖尿病	2型糖尿病	原始名称	288	admission,discharge
单纯性肾囊肿	肾囊肿	同义词映射	286	admission,discharge
慢性疼痛，其他的	慢性疼痛	基础规范化	281	admission,discharge
贲门恶性肿瘤	贲门恶性肿瘤	原始名称	276	admission,discharge
房性期前收缩[房性早搏]	房性期前收缩	基础规范化	266	admission,discharge
盆腔积液	盆腔积液	原始名称	266	admission,discharge
肺不张	肺不张	原始名称	258	admission,discharge
胃炎	胃炎	原始名称	251	admission,discharge
肝功能不全	肝功能不全	原始名称	228	admission,discharge
肾恶性肿瘤	肾恶性肿瘤	原始名称	218	admission,discharge
呼吸衰竭	呼吸衰竭	原始名称	206	admission,discharge
腰椎间盘突出	腰椎间盘突出	原始名称	201	admission,discharge
肺气肿合并肺大泡	肺气肿合并肺大疱	基础规范化	198	admission,discharge
疼痛	疼痛	原始名称	192	admission,discharge
重度贫血	贫血	同义词映射	178	admission,discharge
子宫恶性肿瘤	子宫恶性肿瘤	原始名称	177	admission,discharge
胆管恶性肿瘤	胆管恶性肿瘤	原始名称	175	admission,discharge
前列腺增生	前列腺增生	原始名称	168	admission,discharge
心力衰竭	心力衰竭	原始名称	168	admission,discharge
癫痫	癫痫	原始名称	166	admission,discharge
肾上腺继发性恶性肿瘤	肾上腺继发恶性肿瘤	同义词映射	166	admission,discharge
腹腔继发恶性肿瘤	腹腔继发恶性肿瘤	原始名称	165	admission,discharge
弥漫大B细胞淋巴瘤	弥漫大B细胞淋巴瘤	原始名称	163	admission,discharge
肾结石	肾结石	原始名称	160	admission,discharge
恶性腹水	恶性腹水	原始名称	158	admission,discharge
恶性肿瘤免疫治疗	恶性肿瘤免疫治疗	原始名称	148	admission,discharge
甲状腺功能减退症	甲状腺功能减退症	原始名称	146	admission,discharge
肾功能不全	肾功能不全	原始名称	146	admission,discharge
低钾血症	低钾血症	原始名称	138	admission,discharge
喉恶性肿瘤	喉恶性肿瘤	原始名称	138	admission,discharge
淋巴结增大	淋巴结肿大	同义词映射	137	admission,discharge
